	y	x1	x2	x3																			
49	211,48186	197,13313	35,35855	44,28263																			
50	212,57666	198,33459	36,19752	44,68665																			
51	210,17594	195,82540	32,38727	46,81148																			
52	208,69687	195,33175	33,37093	46,21341																			
53	210,41305	195,97722	33,68193	46,02166																			
54	210,55668	196,12395	34,44448	46,79186																			
55	208,43038	194,89865	32,76245	46,56259																			
56	211,33044	197,08581	34,51180	44,16909																			
57	208,92964	195,22346	33,90625	46,22010																			
58	210,87400	196,35016	32,61464	45,64412																			
59	209,16360	195,56810	32,48941	46,65499																			
60	209,68045	195,41820	33,19253	45,05709																			
61	209,37913	195,62044	33,60138	46,57319																			
62	209,62436	195,19004	33,53596	46,27963																			
63	210,18112	195,68188	34,00720	45,63284																			
64	209,37250	196,10010	33,37360	47,66199																			
65	211,44768	196,38964	33,68297	44,68017		2)																	
66	209,30415	196,30702	35,06592	45,73991				ВЫВОД ИТОГОВ															
67	210,74018	195,26885	33,04398	44,32904																			
68	210,12160	194,34834	32,66128	44,58860				Регрессионная статистика															
69	211,34342	196,77761	35,16039	45,32861				Множественный R	0,817827764	Корень из р квадрат													
70	209,70787	196,35225	33,19128	46,10235				R-квадрат	0,668842251	Множественный коэф детерминации		66,8 процентов изменения у обусловлено изменением x1				33,2 процентов не учли факторы 							
71	212,07066	199,04039	35,52272	44,76039				Нормированный R-квадрат	0,667730984	Корректировка на число степеней свободы													
72	209,38040	195,88308	34,47972	46,56697				Стандартная ошибка	0,605762709														
73	208,57447	194,62597	32,87117	45,32699				Наблюдения	300														
74	209,65249	196,36210	34,53382	45,94445																			
75	209,55270	195,28185	32,27091	46,50133				Дисперсионный анализ															
76	210,75719	197,02397	35,40919	44,90050					df	SS	MS	F	Значимость F										
77	210,59268	195,60351	32,53142	44,75673				Регрессия	1	220,8564626	220,8564626	601,873251	1,72304E-73										
78	210,75606	196,45805	33,46667	45,64757				Остаток	298	109,3506411	0,36694846												
79	210,00836	195,76252	32,86205	46,33367				Итого	299	330,2071038													
80	211,47967	196,60442	34,68766	45,63622																			
81	211,46285	197,34430	34,92211	46,16862					Коэффициенты	Стандартная ошибка	t-статистика	P-Значение	Нижние 95%	Верхние 95%	Нижние 95,0%	Верхние 95,0%							
82	209,09347	194,73259	34,19979	46,77736				Y-пересечение	47,93674242	6,606334169	7,256178872	3,46724E-12	34,93576411	60,93772073	34,93576411	60,93772073							
83	211,70512	198,77199	37,32451	47,21555				x1	0,827084065	0,033712979	24,5331052	1,72304E-73	0,760738389	0,893429742	0,760738389	0,893429742							
84	212,15617	196,77043	34,41983	44,60900																			
85	208,31635	193,17604	32,05397	46,59778																			
86	210,54367	195,90658	34,22537	44,55662		2.1)																	
87	209,98040	197,41644	36,75142	45,43970																			
88	210,50187	195,05395	32,51103	46,30928																			
89	210,85374	196,23788	35,02446	44,54310				ВЫВОД ИТОГОВ															
90	209,92473	195,50923	33,67352	46,11053																			
91	209,64464	196,92599	34,20823	47,15150				Регрессионная статистика															
92	210,52693	196,97349	33,79577	46,37476				Множественный R	0,881215942														
93	210,24866	195,80173	32,37476	44,36977				R-квадрат	0,776541537	Вариация y обусловленно изменением x1-x3 на 77,6 процентов													
94	210,15927	196,25397	34,10723	45,61879				Нормированный R-квадрат	0,774276755														
95	210,90870	196,30862	34,37035	44,84184				Стандартная ошибка	0,499281822														
96	208,59453	194,65814	34,67978	46,87391				Наблюдения	300														
97	211,12429	196,75334	33,22210	43,95424																			
98	209,76116	196,33277	35,49016	46,41944				Дисперсионный анализ															
99	208,41170	193,78487	31,83793	47,02010					df	SS	MS	F	Значимость F										
100	209,74699	196,01956	34,10489	46,04306				Регрессия	3	256,4195318	85,47317727	342,8769887	5,82522E-96										
101	210,02897	195,30573	32,94502	46,64468				Остаток	296	73,78757195	0,249282338												
102	210,45695	195,32416	33,02220	45,62504				Итого	299	330,2071038													
103	208,99734	195,13195	33,25030	46,33011																			
104	210,35674	196,35610	34,43915	44,46899					Коэффициенты	Стандартная ошибка	t-статистика	P-Значение	Нижние 95%	Верхние 95%	Нижние 95,0%	Верхние 95,0%							
105	209,90002	196,29979	35,18538	45,20357				Y-пересечение	70,5965792	8,71078434	8,104503159	1,40815E-14	53,45366217	87,73949622	53,45366217	87,73949622							
106	210,83140	195,55699	33,15954	45,68951				x1	0,811336002	0,045350296	17,89042351	4,93167E-49	0,722086133	0,900585871	0,722086133	0,900585871							
107	208,42329	194,61391	32,79255	46,28036				x2	-0,170297587	0,042024557	-4,052335046	6,48583E-05	-0,253002367	-0,087592807	-0,253002367	-0,087592807							
108	209,77456	195,73061	33,38080	46,58591				x3	-0,300406641	0,031245416	-9,614422765	3,19758E-19	-0,361897956	-0,238915327	-0,361897956	-0,238915327							
109	210,02741	194,95138	32,27001	46,00688																			
110	210,20188	197,49602	36,53751	47,69168																			
111	209,49746	195,64588	33,22709	46,84925																			
112	210,96526	196,97093	33,83311	45,38615		Определить какая из регрессий лучше ( качество подгонки модели) можно определить по множественному коэфициенту детерминации, который показывает, какую долю вариации вашего результативного признака объясняется включается в модель таких факторов																	
113	209,27229	195,96894	34,40768	48,27948																			
114	210,11356	196,16529	33,48140	46,70737																			
115	209,41164	195,71652	33,22963	46,87010		Лучше всех множественная регрессия, так как при изменении x1-x3 у меняется с вариацией на 88																	
116	209,33094	195,20609	33,25589	46,08642																			
117	209,55031	195,65150	32,68533	45,41941																			
118	210,35616	196,75350	34,49199	46,30997																			
119	210,56733	195,52183	32,82540	45,68601																			
120	209,62747	194,76513	31,52282	45,05069																			
121	210,38952	196,03741	33,47173	45,19878																			
122	209,12524	195,27840	32,67825	46,88461																			
123	209,23463	195,28616	33,83941	45,97075																			
124	209,95563	196,01181	34,02868	45,75063																			
125	210,32925	194,92473	32,70498	45,98197																			
126	210,52432	196,56477	34,26762	44,81349																			
127	209,39904	195,59490	33,47800	46,37026																			
128	210,07068	195,73333	33,69275	45,69892																			
129	208,71267	195,64919	33,52311	46,58330																			
130	210,57518	197,20506	36,91823	45,94806																			
131	207,97994	194,49068	33,80396	47,40496																			
132	210,66279	196,58897	33,73001	45,71052																			
133	209,89223	195,95464	34,55085	45,72259																			
134	210,24056	196,43922	34,06948	45,12394																			
135	210,09333	197,08936	34,52878	47,46198																			
136	211,31136	197,83651	35,02595	45,16624																			
137	210,98397	196,53644	33,94928	45,34305																			
138	209,85329	196,21138	34,47103	45,50832																			
139	207,72419	195,04647	34,01548	47,13337																			
140	211,50810	197,94446	35,46728	45,07620																			
141	210,21785	196,81061	35,11282	45,87389																			
142	210,13892	196,41490	33,00965	46,42411																			
143	211,21428	196,95152	35,23277	46,97080																			
144	209,24018	195,83986	35,41243	45,30603																			
145	209,60068	194,66262	33,48447	45,43215																			
146	210,58874	196,38894	33,23732	44,57274																			
147	210,06218	195,72309	33,13954	45,20810																			
148	209,54958	196,11072	35,29599	46,03742																			
149	211,04879	196,01707	34,78047	46,20248																			
150	210,84347	197,36745	35,94082	45,61524																			
151	209,37355	196,10901	34,55944	47,39803																			
152	209,01914	194,32286	32,13992	46,67093																			
153	211,03239	196,45977	34,33880	44,40243																			
154	211,42851	197,21923	34,00035	43,83582																			
155	211,91897	197,51602	34,13067	43,62729																			
156	211,66732	198,00024	34,83084	43,32970																			
157	209,66325	195,00688	33,88065	45,74152																			
158	209,15156	194,61695	32,44533	47,32347																			
159	209,50938	196,63566	35,70003	46,36165																			
160	210,00099	195,37751	32,72272	46,27193																			
161	209,40002	195,40674	33,17943	47,58507																			
162	210,50297	196,41634	34,76013	44,74677																			
163	211,09923	197,24379	36,46795	47,03313																			
164	210,55930	196,43818	34,03446	45,84357																			
165	211,40337	198,08627	35,82117	45,74507																			
166	209,61821	195,47826	32,46094	46,40286																			
167	210,45860	196,19222	35,42927	45,25278																			
168	211,67069	197,14613	34,29714	44,15953																			
169	211,07118	196,22726	33,13871	45,23317																			
170	209,53873	196,32196	33,63182	46,40301																			
171	210,15056	195,76577	33,93669	45,95336																			
172	209,87879	195,83775	33,53878	45,08429																			
173	209,30420	195,91578	33,72751	46,15620																			
174	210,06847	195,66655	34,07718	44,54906																			
175	211,55578	197,59530	35,15993	43,93036																			
176	207,09344	193,46544	31,84778	47,97200																			
177	210,42210	197,17864	35,24049	46,79929																			
178	210,11218	195,74840	35,45515	47,57336																			
179	210,64177	197,33256	35,38016	47,76992																			
180	210,84002	195,83268	32,33883	44,73490																			
181	210,21363	195,83194	33,82721	47,61460																			
182	209,67576	196,51216	33,89914	47,48139																			
183	211,56853	196,67218	33,30178	45,35648																			
184	209,74189	195,01170	33,43766	45,20678																			
185	209,47077	195,49924	34,88713	45,79252																			
186	210,53055	196,84943	34,46311	46,42972																			
187	210,87274	197,38749	35,23017	45,44662																			
188	209,68659	195,56051	33,94719	45,36250																			
189	209,97986	195,71689	33,08810	43,80321																			
190	209,68474	194,77264	33,24353	48,57087																			
191	210,68187	197,00256	34,16104	45,60994																			
192	211,19258	196,75481	34,44486	43,46981																			
193	210,07512	195,09901	34,23387	47,32278																			
194	210,77239	197,89652	34,15873	46,58460																			
195	209,79437	196,19246	33,58647	45,93018																			
196	209,74856	195,45727	33,64282	45,87868																			
197	209,87622	195,72362	33,30687	45,27491																			
198	210,50190	196,17646	33,34543	46,09964																			
199	208,02211	194,43157	32,89488	46,07788																			
200	208,08076	195,61937	34,84969	46,18237																			
201	210,12145	195,74076	34,62491	47,48640																			
202	209,90092	196,13565	34,73953	46,50195																			
203	209,72843	196,04749	33,88960	47,04118																			
204	211,27489	197,88078	36,13021	45,46219																			
205	208,71852	194,14804	32,56818	46,27044																			
206	211,31840	196,37202	33,92908	44,11548																			
207	208,49595	193,84644	33,77708	46,83262																			
208	210,34690	195,39772	33,11943	44,29401																			
209	209,74604	195,41461	33,79125	46,17146																			
210	210,19174	196,04643	34,17214	45,90227																			
211	209,93266	196,73832	34,02867	45,13365																			
212	209,93728	196,68505	35,29675	45,37281																			
213	210,77513	196,06246	33,61743	44,85028																			
214	209,06928	194,83321	33,35257	47,25892																			
215	212,37386	198,41508	35,12922	44,78970																			
216	208,43337	194,25265	33,06564	48,43697																			
217	208,99265	194,44094	33,49164	47,18259																			
218	208,31500	194,09825	32,86088	47,44377																			
219	210,17467	197,09551	35,31534	45,30463																			
220	210,95305	197,38312	34,68841	44,95164																			
221	211,85054	198,01850	35,86320	46,52393																			
222	211,06525	195,95140	34,87908	44,87883																			
223	208,72664	194,85911	33,90142	46,72760																			
224	208,73763	195,48388	34,01618	46,95719																			
225	207,49040	194,29863	33,45013	46,63152																			
226	210,14907	196,19986	33,48985	45,37234																			
227	209,86225	196,12730	34,52369	45,58489																			
228	209,43967	195,62444	33,23056	45,72224																			
229	210,43130	195,35035	33,66693	45,21953																			
230	211,55312	197,05008	34,39421	44,29221																			
231	210,82474	196,64158	34,31879	45,88464																			
232	209,14022	195,23714	33,43098	46,02912																			
233	207,53211	193,57379	31,69642	47,38094																			
234	208,35611	195,28433	34,43046	47,44250																			
235	208,51891	194,10922	33,40840	46,80347																			
236	209,82029	196,97987	34,47502	46,05443																			
237	208,95905	195,40942	33,70646	47,37120																			
238	208,79548	194,48596	32,83100	46,64185																			
239	210,75174	197,30595	34,84701	46,16978																			
240	210,09183	195,13358	32,94959	45,65254																			
241	211,08051	196,74584	34,43122	45,20268																			
242	210,82736	196,38994	35,30628	45,60359																			
243	208,82469	195,23983	33,23749	47,80881																			
244	209,47143	195,53066	33,85552	47,02039																			
245	211,85616	198,68087	35,99652	44,51112																			
246	209,57941	194,87613	33,38638	45,85549																			
247	209,58938	196,30601	34,20830	47,55947																			
248	208,11243	194,64417	33,95065	46,96724																			
249	208,62029	194,42390	32,42529	46,06490																			
250	209,96055	195,32741	33,53520	46,16579																			
251	208,74145	193,99460	32,84931	46,26137																			
252	207,25552	194,23100	34,56348	48,82435																			
253	210,59267	195,02406	33,74978	45,80704																			
254	209,54375	196,11030	34,52794	45,45011																			
255	209,59538	195,64185	34,18533	46,32609																			
256	211,00325	196,02409	33,52056	45,38023																			
257	210,29075	196,19247	34,53926	45,77956																			
258	210,30558	196,55148	34,41130	46,36857																			
259	214,37571	198,92926	34,48444	42,77400																			
260	207,97819	194,12495	33,58303	46,56813																			
261	210,23080	196,58007	34,79346	46,78559																			
262	209,74355	195,28316	33,34862	44,61747																			
263	210,75227	196,35204	32,97128	45,35061																			
264	211,30544	196,28185	34,20701	45,33726																			
265	210,76170	196,46712	33,91030	43,92350																			
266	210,49426	196,59801	34,41141	45,54583																			
267	210,84495	196,51340	33,60208	45,08950																			
268	211,82726	198,39243	34,53114	44,77275																			
269	209,12625	195,69992	32,63652	46,74238																			
270	209,48413	195,47759	33,65932	47,17725																			
271	208,19721	193,42887	32,05316	47,58029																			
272	208,92289	194,96856	34,37660	47,30758																			
273	209,48335	194,38962	32,04761	46,03941																			
274	209,80138	195,65155	34,81281	47,35441																			
275	209,20151	195,20559	33,74776	47,81239																			
276	209,97325	196,30568	34,59694	46,97849																			
277	210,60629	195,67432	33,28176	46,51257																			
278	211,13401	198,23519	36,24493	44,70888																			
279	211,25180	196,69944	33,36067	45,19235																			
280	210,87931	197,13150	35,62046	44,83701																			
281	211,12065	197,13323	34,49015	45,99800																			
282	208,73443	194,75632	32,45281	45,40348																			
283	210,36373	196,81568	34,61426	45,87386																			
284	210,98703	196,50804	35,04317	46,02165																			
285	209,37639	195,72737	32,72455	46,20168																			
286	210,49288	196,44538	34,33817	45,10944																			
287	210,37975	196,02565	34,22724	46,57654																			
288	210,98496	197,10629	34,97298	44,83773																			
289	211,59709	197,32080	34,19645	44,71837																			
290	208,77229	195,20197	32,69967	48,36177																			
291	210,74516	195,98880	33,13405	45,26007																			
292	210,31029	196,00715	32,77574	45,64657																			
293	211,49491	196,25909	32,78320	43,76454																			
294	210,27396	196,71839	34,26603	46,86150																			
295	209,23430	195,03137	32,43736	46,17744																			
296	211,79013	197,08113	34,03403	45,77443																			
297	210,40582	196,94856	35,46590	46,05084																			
298	210,83192	196,71933	35,67148	46,00275																			
299	210,88696	196,72101	34,48218	45,97917																			
300	210,41767	195,72537	32,87244	44,22022																			
